--- asteroids vs asteroids ---
5 32 0.048361 -0.651635
5 33 0.00209503 0.592837
5 34 0.00717586 0.233334
5 35 0.014345 -0.562535
5 36 0.00199536 0.585789
5 37 0.00557899 0.0809673
5 38 0.00375835 0.399208
5 39 0.00187484 0.326817
5 40 0.00301527 -0.444344
5 41 0.00472556 -0.0105987
5 42 0.0134483 -0.685822
5 43 0.00939907 0.111459
5 44 0.00243532 -0.274347
5 45 0.00264889 -0.207154
5 46 0.00840053 0.023043
5 47 0.0016019 0.65145
5 48 0.00274088 0.605589
5 49 0.00321591 0.504571
5 50 0.00241668 0.29852
5 51 0.0022272 0.324055
5 52 0.0067822 0.238185
5 53 0.00220296 0.198487
5 54 0.444134 0.365719
5 55 0.00187211 -0.406375
5 56 0.00624471 0.256255
5 57 0.00679246 0.410621
5 58 0.00227607 0.309499
5 59 0.00680318 0.0472153
5 60 0.0015911 0.690104
5 61 0.00289686 0.401454
5 62 0.00276089 0.101468
5 63 0.00132822 0.112443
5 64 0.00436721 -0.0265873
5 65 0.0026315 0.304619
5 66 0.00938395 0.755629
5 67 0.0021212 0.526796
5 68 0.00135372 0.00389557
5 69 0.00206568 0.61924
5 70 0.00169771 0.637436
5 71 0.00180045 0.0370868
5 72 0.00469345 0.0616106
5 73 0.0342738 0.505193
5 74 0.00356825 0.108053
5 75 0.00179356 0.305642
5 76 0.00669248 0.374248
5 77 0.0650574 -0.583228
5 78 0.0020516 0.125463
5 79 0.00362486 0.230926
5 80 0.0102033 0.405166
5 81 0.00355628 0.189776
5 82 0.00209049 0.50317
5 83 0.00335123 0.674086
5 84 0.00246273 -0.772858
5 85 0.00491728 0.298628
5 86 0.00176508 0.542477
5 87 0.00321412 0.350774
5 88 0.00161106 0.501718
5 89 0.00409244 0.206823
5 90 0.00149914 0.0812487
5 91 0.00230606 0.30076
5 92 0.00350658 0.698155
5 93 0.00879396 -0.13268
5 94 0.150006 0.356716
5 95 0.00183783 0.478239
5 96 0.00463111 0.509658
5 97 0.00251603 0.348627
5 98 0.00290235 0.0771542
5 99 0.00701829 0.685447
6 7 0.00651235 0.586325
6 8 0.00492977 0.531583
